Ewe/V	Capacity/mA.h	
3.0398996E+000	0.000000000000000E+000
3.0394609E+000	0.000000000000000E+000
3.0390985E+000	0.000000000000000E+000
3.0385642E+000	0.000000000000000E+000
3.0384498E+000	0.000000000000000E+000
3.0380683E+000	0.000000000000000E+000
3.0375724E+000	0.000000000000000E+000
3.0373051E+000	0.000000000000000E+000
3.0369236E+000	0.000000000000000E+000
3.0365803E+000	0.000000000000000E+000
3.0361989E+000	0.000000000000000E+000
3.0358744E+000	0.000000000000000E+000
3.0354357E+000	0.000000000000000E+000
3.0351114E+000	0.000000000000000E+000
3.0346918E+000	0.000000000000000E+000
3.0344055E+000	0.000000000000000E+000
3.0340431E+000	0.000000000000000E+000
3.0336807E+000	0.000000000000000E+000
3.0334136E+000	0.000000000000000E+000
3.0329750E+000	0.000000000000000E+000
3.0326505E+000	0.000000000000000E+000
3.0322690E+000	0.000000000000000E+000
3.0319448E+000	0.000000000000000E+000
3.0316968E+000	0.000000000000000E+000
3.0313532E+000	0.000000000000000E+000
3.0310671E+000	0.000000000000000E+000
3.0308383E+000	0.000000000000000E+000
3.0306475E+000	0.000000000000000E+000
3.0302279E+000	0.000000000000000E+000
3.0299416E+000	0.000000000000000E+000
3.0295792E+000	0.000000000000000E+000
3.0293503E+000	0.000000000000000E+000
3.0290451E+000	0.000000000000000E+000
3.0286636E+000	0.000000000000000E+000
3.0284536E+000	0.000000000000000E+000
3.0282247E+000	0.000000000000000E+000
3.0278814E+000	0.000000000000000E+000
3.0274808E+000	0.000000000000000E+000
3.0273473E+000	0.000000000000000E+000
3.0269847E+000	0.000000000000000E+000
3.0267940E+000	0.000000000000000E+000
3.0265651E+000	0.000000000000000E+000
3.0263553E+000	0.000000000000000E+000
3.0259738E+000	0.000000000000000E+000
3.0257258E+000	0.000000000000000E+000
3.0254776E+000	0.000000000000000E+000
3.0251153E+000	0.000000000000000E+000
3.0249436E+000	0.000000000000000E+000
3.0246766E+000	0.000000000000000E+000
3.0243905E+000	0.000000000000000E+000
3.0241425E+000	0.000000000000000E+000
3.0238180E+000	0.000000000000000E+000
3.0237417E+000	0.000000000000000E+000
3.0234747E+000	0.000000000000000E+000
3.0230932E+000	0.000000000000000E+000
3.0228834E+000	0.000000000000000E+000
3.0226164E+000	0.000000000000000E+000
3.0224063E+000	0.000000000000000E+000
3.0221012E+000	0.000000000000000E+000
3.0218914E+000	0.000000000000000E+000
3.0216243E+000	0.000000000000000E+000
3.0213382E+000	0.000000000000000E+000
3.0211284E+000	0.000000000000000E+000
3.0209184E+000	0.000000000000000E+000
3.0206323E+000	0.000000000000000E+000
3.0205560E+000	0.000000000000000E+000
3.0201364E+000	0.000000000000000E+000
3.0199265E+000	0.000000000000000E+000
3.0198121E+000	0.000000000000000E+000
3.0196021E+000	0.000000000000000E+000
3.0193732E+000	0.000000000000000E+000
3.0189154E+000	0.000000000000000E+000
3.0188773E+000	0.000000000000000E+000
3.0185339E+000	0.000000000000000E+000
3.0184577E+000	0.000000000000000E+000
3.0181715E+000	0.000000000000000E+000
3.0180378E+000	0.000000000000000E+000
3.0176563E+000	0.000000000000000E+000
3.0174274E+000	0.000000000000000E+000
3.0171223E+000	0.000000000000000E+000
3.0171032E+000	0.000000000000000E+000
3.0168362E+000	0.000000000000000E+000
3.0164735E+000	0.000000000000000E+000
3.0162637E+000	0.000000000000000E+000
3.0160730E+000	0.000000000000000E+000
3.0158632E+000	0.000000000000000E+000
3.0156915E+000	0.000000000000000E+000
3.0154054E+000	0.000000000000000E+000
3.0152719E+000	0.000000000000000E+000
3.0149665E+000	0.000000000000000E+000
3.0148520E+000	0.000000000000000E+000
3.0144515E+000	0.000000000000000E+000
3.0142989E+000	0.000000000000000E+000
3.0139747E+000	0.000000000000000E+000
3.0138221E+000	0.000000000000000E+000
3.0135357E+000	0.000000000000000E+000
3.0134213E+000	0.000000000000000E+000
3.0132306E+000	0.000000000000000E+000
3.0130398E+000	0.000000000000000E+000
3.0126584E+000	0.000000000000000E+000
3.0126011E+000	0.000000000000000E+000
3.0123913E+000	0.000000000000000E+000
3.0121813E+000	0.000000000000000E+000
3.0119524E+000	0.000000000000000E+000
3.0116091E+000	0.000000000000000E+000
3.0114374E+000	0.000000000000000E+000
3.0111513E+000	0.000000000000000E+000
3.0109606E+000	0.000000000000000E+000
3.0107317E+000	0.000000000000000E+000
3.0106552E+000	0.000000000000000E+000
3.0104263E+000	0.000000000000000E+000
3.0101211E+000	0.000000000000000E+000
3.0099304E+000	0.000000000000000E+000
3.0097587E+000	0.000000000000000E+000
3.0095870E+000	0.000000000000000E+000
3.0092628E+000	0.000000000000000E+000
3.0090718E+000	0.000000000000000E+000
3.0087667E+000	0.000000000000000E+000
3.0085568E+000	0.000000000000000E+000
3.0084233E+000	0.000000000000000E+000
3.0082707E+000	0.000000000000000E+000
3.0078893E+000	0.000000000000000E+000
3.0076029E+000	0.000000000000000E+000
3.0075648E+000	0.000000000000000E+000
3.0072978E+000	0.000000000000000E+000
3.0070117E+000	0.000000000000000E+000
3.0068400E+000	0.000000000000000E+000
3.0065730E+000	0.000000000000000E+000
3.0063250E+000	0.000000000000000E+000
3.0060959E+000	0.000000000000000E+000
3.0059624E+000	0.000000000000000E+000
3.0057335E+000	0.000000000000000E+000
3.0053902E+000	0.000000000000000E+000
3.0052948E+000	0.000000000000000E+000
3.0050278E+000	0.000000000000000E+000
3.0047414E+000	0.000000000000000E+000
3.0045125E+000	0.000000000000000E+000
3.0044172E+000	0.000000000000000E+000
3.0040929E+000	0.000000000000000E+000
3.0038640E+000	0.000000000000000E+000
3.0037496E+000	0.000000000000000E+000
3.0033681E+000	0.000000000000000E+000
3.0031581E+000	0.000000000000000E+000
3.0031199E+000	0.000000000000000E+000
3.0028720E+000	0.000000000000000E+000
3.0026240E+000	0.000000000000000E+000
3.0022807E+000	0.000000000000000E+000
3.0021281E+000	0.000000000000000E+000
3.0020137E+000	0.000000000000000E+000
3.0016320E+000	0.000000000000000E+000
3.0013459E+000	0.000000000000000E+000
3.0011933E+000	0.000000000000000E+000
3.0010026E+000	0.000000000000000E+000
3.0008118E+000	0.000000000000000E+000
3.0006974E+000	0.000000000000000E+000
3.0003350E+000	0.000000000000000E+000
3.0001249E+000	0.000000000000000E+000
2.9999151E+000	0.000000000000000E+000
2.9996290E+000	0.000000000000000E+000
2.9993429E+000	0.000000000000000E+000
2.9992285E+000	0.000000000000000E+000
2.9989424E+000	0.000000000000000E+000
2.9987705E+000	0.000000000000000E+000
2.9984653E+000	0.000000000000000E+000
2.9983509E+000	0.000000000000000E+000
2.9980075E+000	0.000000000000000E+000
2.9978168E+000	0.000000000000000E+000
2.9974735E+000	0.000000000000000E+000
2.9973972E+000	0.000000000000000E+000
2.9970536E+000	0.000000000000000E+000
2.9968629E+000	0.000000000000000E+000
2.9966722E+000	0.000000000000000E+000
2.9964433E+000	0.000000000000000E+000
2.9961381E+000	0.000000000000000E+000
2.9960046E+000	0.000000000000000E+000
2.9956610E+000	0.000000000000000E+000
2.9954321E+000	0.000000000000000E+000
2.9951651E+000	0.000000000000000E+000
2.9950316E+000	0.000000000000000E+000
2.9947073E+000	0.000000000000000E+000
2.9945738E+000	0.000000000000000E+000
2.9942684E+000	0.000000000000000E+000
2.9940777E+000	0.000000000000000E+000
2.9937916E+000	0.000000000000000E+000
2.9936581E+000	0.000000000000000E+000
