DataPoint,Cycle Index,Step Index,Step Type,Time,Total Time,Current(A),Voltage(V),Capacity(Ah),Spec. Cap.(mAh/g),Chg. Cap.(Ah),Chg. Spec. Cap.(mAh/g),DChg. Cap.(Ah),DChg. Spec. Cap.(mAh/g),Energy(Wh),Spec. Energy(mWh/g),Chg. Energy(Wh),Chg. Spec. Energy(mWh/g),DChg. Energy(Wh),DChg. Spec. Energy(mWh/g),Date,Power(W),dQ/dV(mAh/V),dQm/dV(mAh/V.g),Contact resistance(mO),Module start-stop switch,SOC/DOD(%),LgD
1,1,1,Rest,00:00:00,00:00:00,0.00000000,0.5993,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:23:43,0.00000000,0.0000,0.0000,0,Close,0.00,
2,1,1,Rest,00:00:30,00:00:30,0.00000000,0.5998,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:24:13,0.00000000,0.0000,0.0000,0,Close,0.00,
3,1,1,Rest,00:01:00,00:01:00,0.00000000,0.6000,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:24:43,0.00000000,0.0000,0.0000,0,Close,0.00,
4,1,1,Rest,00:01:30,00:01:30,0.00000000,0.6002,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:25:13,0.00000000,0.0000,0.0000,0,Close,0.00,
5,1,1,Rest,00:02:00,00:02:00,0.00000000,0.6003,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:25:43,0.00000000,0.0000,0.0000,0,Close,0.00,
6,1,1,Rest,00:02:30,00:02:30,0.00000000,0.6004,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:26:13,0.00000000,0.0000,0.0000,0,Close,0.00,
7,1,1,Rest,00:03:00,00:03:00,0.00000000,0.6004,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:26:43,0.00000000,0.0000,0.0000,0,Close,0.00,
8,1,1,Rest,00:03:30,00:03:30,0.00000000,0.6005,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:27:13,0.00000000,0.0000,0.0000,0,Close,0.00,
9,1,1,Rest,00:04:00,00:04:00,0.00000000,0.6005,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:27:43,0.00000000,0.0000,0.0000,0,Close,0.00,
10,1,1,Rest,00:04:30,00:04:30,0.00000000,0.6005,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:28:13,0.00000000,0.0000,0.0000,0,Close,0.00,
11,1,1,Rest,00:05:00,00:05:00,0.00000000,0.6006,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:28:43,0.00000000,0.0000,0.0000,0,Close,0.00,
12,1,1,Rest,00:05:30,00:05:30,0.00000000,0.6006,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:29:13,0.00000000,0.0000,0.0000,0,Close,0.00,
13,1,1,Rest,00:06:00,00:06:00,0.00000000,0.6006,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:29:43,0.00000000,0.0000,0.0000,0,Close,0.00,
14,1,1,Rest,00:06:30,00:06:30,0.00000000,0.6006,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:30:13,0.00000000,0.0000,0.0000,0,Close,0.00,
15,1,1,Rest,00:07:00,00:07:00,0.00000000,0.6006,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:30:43,0.00000000,0.0000,0.0000,0,Close,0.00,
16,1,1,Rest,00:07:30,00:07:30,0.00000000,0.6006,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:31:13,0.00000000,0.0000,0.0000,0,Close,0.00,
17,1,1,Rest,00:08:00,00:08:00,0.00000000,0.6006,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:31:43,0.00000000,0.0000,0.0000,0,Close,0.00,
18,1,1,Rest,00:08:30,00:08:30,0.00000000,0.6006,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:32:13,0.00000000,0.0000,0.0000,0,Close,0.00,
19,1,1,Rest,00:09:00,00:09:00,0.00000000,0.6005,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:32:43,0.00000000,0.0000,0.0000,0,Close,0.00,
20,1,1,Rest,00:09:30,00:09:30,0.00000000,0.6006,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:33:13,0.00000000,0.0000,0.0000,0,Close,0.00,
21,1,1,Rest,00:10:00,00:10:00,0.00000000,0.6005,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:33:43,0.00000000,0.0000,0.0000,0,Close,0.00,
22,1,1,Rest,00:10:30,00:10:30,0.00000000,0.6005,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:34:13,0.00000000,0.0000,0.0000,0,Close,0.00,
23,1,1,Rest,00:11:00,00:11:00,0.00000000,0.6005,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:34:43,0.00000000,0.0000,0.0000,0,Close,0.00,
24,1,1,Rest,00:11:30,00:11:30,0.00000000,0.6005,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:35:13,0.00000000,0.0000,0.0000,0,Close,0.00,
25,1,1,Rest,00:12:00,00:12:00,0.00000000,0.6005,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:35:43,0.00000000,0.0000,0.0000,0,Close,0.00,
26,1,1,Rest,00:12:30,00:12:30,0.00000000,0.6005,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:36:13,0.00000000,0.0000,0.0000,0,Close,0.00,
27,1,1,Rest,00:13:00,00:13:00,0.00000000,0.6004,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:36:43,0.00000000,0.0000,0.0000,0,Close,0.00,
28,1,1,Rest,00:13:30,00:13:30,0.00000000,0.6004,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:37:13,0.00000000,0.0000,0.0000,0,Close,0.00,
29,1,1,Rest,00:14:00,00:14:00,0.00000000,0.6004,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:37:43,0.00000000,0.0000,0.0000,0,Close,0.00,
30,1,1,Rest,00:14:30,00:14:30,0.00000000,0.6004,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:38:13,0.00000000,0.0000,0.0000,0,Close,0.00,
31,1,1,Rest,00:15:00,00:15:00,0.00000000,0.6003,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:38:43,0.00000000,0.0000,0.0000,0,Close,0.00,
32,1,1,Rest,00:15:30,00:15:30,0.00000000,0.6003,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:39:13,0.00000000,0.0000,0.0000,0,Close,0.00,
33,1,1,Rest,00:16:00,00:16:00,0.00000000,0.6003,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:39:43,0.00000000,0.0000,0.0000,0,Close,0.00,
34,1,1,Rest,00:16:30,00:16:30,0.00000000,0.6003,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:40:13,0.00000000,0.0000,0.0000,0,Close,0.00,
35,1,1,Rest,00:17:00,00:17:00,0.00000000,0.6002,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:40:43,0.00000000,0.0000,0.0000,0,Close,0.00,
36,1,1,Rest,00:17:30,00:17:30,0.00000000,0.6002,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:41:13,0.00000000,0.0000,0.0000,0,Close,0.00,
37,1,1,Rest,00:18:00,00:18:00,0.00000000,0.6002,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:41:43,0.00000000,0.0000,0.0000,0,Close,0.00,
38,1,1,Rest,00:18:30,00:18:30,0.00000000,0.6001,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:42:13,0.00000000,0.0000,0.0000,0,Close,0.00,
39,1,1,Rest,00:19:00,00:19:00,0.00000000,0.6001,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:42:43,0.00000000,0.0000,0.0000,0,Close,0.00,
40,1,1,Rest,00:19:30,00:19:30,0.00000000,0.6001,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:43:13,0.00000000,0.0000,0.0000,0,Close,0.00,
41,1,1,Rest,00:20:00,00:20:00,0.00000000,0.6000,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:43:43,0.00000000,0.0000,0.0000,0,Close,0.00,
42,1,1,Rest,00:20:30,00:20:30,0.00000000,0.6000,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:44:13,0.00000000,0.0000,0.0000,0,Close,0.00,
43,1,1,Rest,00:21:00,00:21:00,0.00000000,0.6000,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:44:43,0.00000000,0.0000,0.0000,0,Close,0.00,
44,1,1,Rest,00:21:30,00:21:30,0.00000000,0.6000,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:45:13,0.00000000,0.0000,0.0000,0,Close,0.00,
45,1,1,Rest,00:22:00,00:22:00,0.00000000,0.5999,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:45:43,0.00000000,0.0000,0.0000,0,Close,0.00,
46,1,1,Rest,00:22:30,00:22:30,0.00000000,0.5999,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:46:13,0.00000000,0.0000,0.0000,0,Close,0.00,
47,1,1,Rest,00:23:00,00:23:00,0.00000000,0.5999,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:46:43,0.00000000,0.0000,0.0000,0,Close,0.00,
48,1,1,Rest,00:23:30,00:23:30,0.00000000,0.5998,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:47:13,0.00000000,0.0000,0.0000,0,Close,0.00,
49,1,1,Rest,00:24:00,00:24:00,0.00000000,0.5998,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:47:43,0.00000000,0.0000,0.0000,0,Close,0.00,
50,1,1,Rest,00:24:30,00:24:30,0.00000000,0.5998,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:48:13,0.00000000,0.0000,0.0000,0,Close,0.00,
51,1,1,Rest,00:25:00,00:25:00,0.00000000,0.5997,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:48:43,0.00000000,0.0000,0.0000,0,Close,0.00,
52,1,1,Rest,00:25:30,00:25:30,0.00000000,0.5997,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:49:13,0.00000000,0.0000,0.0000,0,Close,0.00,
53,1,1,Rest,00:26:00,00:26:00,0.00000000,0.5997,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:49:43,0.00000000,0.0000,0.0000,0,Close,0.00,
54,1,1,Rest,00:26:30,00:26:30,0.00000000,0.5996,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:50:13,0.00000000,0.0000,0.0000,0,Close,0.00,
55,1,1,Rest,00:27:00,00:27:00,0.00000000,0.5996,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:50:43,0.00000000,0.0000,0.0000,0,Close,0.00,
56,1,1,Rest,00:27:30,00:27:30,0.00000000,0.5995,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:51:13,0.00000000,0.0000,0.0000,0,Close,0.00,
57,1,1,Rest,00:28:00,00:28:00,0.00000000,0.5995,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:51:43,0.00000000,0.0000,0.0000,0,Close,0.00,
58,1,1,Rest,00:28:30,00:28:30,0.00000000,0.5995,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:52:13,0.00000000,0.0000,0.0000,0,Close,0.00,
59,1,1,Rest,00:29:00,00:29:00,0.00000000,0.5995,0,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,2023-06-30 17:52:43,0.00000000,0.0000,0.0000,0,Close,0.00,
